
#size    Runtime1      Runtime2

100        900           3200
200        700           800
300        700           600
400        800           600
500        500           600
600        600           500
700        700           400
800        500           500
900        600           501
1000        600           400
1100        600           500
1200        500           499
1300        500           1100
1400        600           900
1500        699           1700
1600        500           1000
1700        601           1300
1800        999           2300
1900        500           900
2000        499           800
2100        600           1000
2200        600           1100
2300        700           1700
2400        500           1200
2500        399           1100
2600        600           1500
2700        701           1500
2800        700           1899
2900        800           1700
3000        500           1400
3100        500           1100
3200        1700           1700
3300        501           1200
3400        500           1100
3500        500           900
3600        699           900
3700        1600           1800
3800        900           1101
3900        1800           1800
4000        1101           1300
4100        800           1000
4200        1000           1300
4300        1300           1301
4400        900           1000
4500        1999           1400
4600        1500           1700
4700        3099           2701
4800        1499           1300
4900        41400           2000
5000        1000           1300
5100        1000           1200
5200        1000           1101
5300        900           1100
5400        1000           1200
5500        800           900
5600        900           1000
5700        1899           2101
5800        1100           900
5900        1000           1200
6000        1000           1200
6100        800           900
6200        900           900
6300        1000           1200
6400        50100           1300
6500        1000           1200
6600        1000           1400
6700        1000           800
6800        1100           1300
6900        1401           1200
7000        700           1001
7100        1601           2000
7200        1700           1900
7300        3400           3500
7400        2101           2400
7500        1100           1000
7600        1400           1400
7700        1100           1300
7800        1000           1200
7900        1100           1199
8000        800           1200
8100        700           900
8200        1701           1400
8300        1700           1600
8400        900           1200
8500        900           1300
8600        900           1300
8700        1300           1401
8800        1000           1500
8900        1000           1100
9000        900           1200
9100        1100           1100
9200        800           1000
9300        1100           1100
9400        700           3800
9500        1100           1400
9600        1100           1300
9700        1099           1300
9800        1000           1200
9900        1100           1300
10000        1200           1100
10100        1000           1200
10200        800           1099
10300        1000           1400
10400        900           1199
10500        1000           1200
10600        900           1500
10700        999           1400
10800        700           1100
10900        1400           1200
11000        1800           2200
11100        1800           2299
11200        1701           1700
11300        1199           1500
11400        1100           1500
11500        900           1300
11600        1100           1200
11700        900           1200
11800        1000           1300
11900        1000           1401
12000        500           2099
12100        800           1600
12200        500           1400
12300        500           1000
12400        600           1200
12500        600           3699
12600        700           1501
12700        499           1300
12800        500           2699
12900        700           2000
13000        800           2700
13100        1899           1700
13200        700           1300
13300        1100           1200
13400        500           1100
13500        1800           2000
13600        1300           1500
13700        1200           1399
13800        700           1400
13900        700           1400
14000        700           1300
14100        2300           2000
14200        999           1400
14300        800           1600
14400        700           1400
14500        700           900
14600        1900           3500
14700        700           1700
14800        699           2000
14900        700           1499
15000        1100           1300
15100        1000           1300
15200        600           1300
15300        700           1300
15400        700           1300
15500        600           1300
15600        1300           1400
15700        800           1100
15800        1100           2600
15900        1399           1400
16000        1800           2500
16100        900           1300
16200        1100           1401
16300        1300           1400
16400        1100           1199
16500        1000           1201
16600        900           1199
16700        1299           1400
16800        1601           1700
16900        1401           1900
17000        1100           1400
17100        1299           1300
17200        1100           1200
17300        1100           1200
17400        1100           1199
17500        1200           1299
17600        1000           1200
17700        1001           1200
17800        999           1100
17900        1500           1800
18000        1000           1300
18100        800           1001
18200        1200           1200
18300        1299           1800
18400        1101           1300
18500        1899           2000
18600        1000           1000
18700        1900           3100
18800        1200           1399
18900        2100           2400
19000        1101           1400
19100        1400           1300
19200        1100           1100
19300        1100           1100
19400        1100           1500
19500        1501           1300
19600        1499           1900
19700        1300           1301
19800        1300           1499
19900        1200           1400
20000        1300           1500
