
#size    Runtime1      Runtime2100          
100        1300           6900
200        1100           3700
300        1200           3000
400        1000           2800
500        1600           3200
600        2100           3300
700        500           2200
800        500           1700
900        400           2400
1000        500           2500
1100        500           2500
1200        500           2600
1300        400           2800
1400        500           3000
1500        400           2700
1600        500           2500
1700        400           2500
1800        400           2100
1900        400           2500
2000        400           2200
2100        400           2400
2200        300           2200
2300        400           2500
2400        300           2300
2500        400           2400
2600        300           2000
2700        400           2400
2800        500           3400
2900        600           4400
3000        400           2100
3100        800           4800
3200        500           2600
3300        300           2900
3400        600           1800
3500        500           2600
3600        400           2900
3700        800           3800
3800        29600           18200
3900        200           4000
4000        200           3700
4100        14800           4500
4200        20800           4200
4300        200           3800
4400        200           3500
4500        100           2800
4600        100           2200
4700        100           1900
4800        100           2000
4900        100           1600
5000        100           1800
